dataset,model,mechanism,imputer,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean
wdbc,logistic_regression,mar,iterative,0.1,0.9701599130569788,0.02525553642636958,0.9949212718169482,0.005838045132283044,0.02085269775320287,0.009889059042377236,-0.005263157894736836,-0.00045856534556174553,0.0009672862529020228
wdbc,logistic_regression,mar,iterative,0.2,0.9666511411271541,0.025855069761642507,0.9942674349282603,0.005720095194038347,0.022110643869991637,0.010866363223999179,-0.008771929824561408,-0.0011124022342495986,0.0022252323696907886
wdbc,logistic_regression,mar,iterative,0.3,0.9666511411271541,0.029340271206943137,0.9934819511383546,0.006171007846178654,0.023496073082150605,0.01120909734170094,-0.008771929824561408,-0.001897886024155282,0.0036106615818497557
wdbc,logistic_regression,mar,iterative,0.5,0.9666511411271541,0.018992040990669798,0.9925454319370139,0.006072897541839942,0.02748494396160354,0.009997870474836402,-0.008771929824561386,-0.0028344052254959395,0.007599532461302694
wdbc,logistic_regression,mar,knn,0.1,0.971914299021891,0.01899741836160694,0.9949222033319642,0.0060498087080482175,0.021401733874417878,0.00928322526529143,-0.0035087719298245723,-0.00045763383054571173,0.0015163223741170278
wdbc,logistic_regression,mar,knn,0.2,0.9701443875174662,0.014645900662560229,0.9949902255912738,0.005062914114045999,0.023823860034181073,0.008658279864865592,-0.005278683434249354,-0.0003896115712362036,0.003938448533880226
wdbc,logistic_regression,mar,knn,0.3,0.9666356155876417,0.02351160864037866,0.9950519872031499,0.005105103630323113,0.024374938112251665,0.008370876359824335,-0.008787455364073927,-0.0003278499593599493,0.004489526611950815
wdbc,logistic_regression,mar,knn,0.5,0.9613879832324173,0.022849103233068154,0.9939925946722541,0.004328296226330551,0.027032545296697675,0.008454123163150588,-0.014035087719298223,-0.0013872424902559022,0.0071471337963968234
wdbc,logistic_regression,mar,simple,0.1,0.971914299021891,0.01899741836160694,0.9951193595682624,0.005948649154656352,0.021240833193635324,0.009975632136031786,-0.0035087719298245723,-0.0002604775942476545,0.0013554216933344746
wdbc,logistic_regression,mar,simple,0.2,0.971914299021891,0.01685096886113348,0.9935462040113203,0.006243387504384031,0.024043800253750934,0.010719585844338282,-0.0035087719298245723,-0.001833633151189673,0.004158388753450085
wdbc,logistic_regression,mar,simple,0.3,0.9701599130569788,0.018167418880940745,0.9937421037855036,0.006472730094798392,0.024027502529133306,0.007990904300488462,-0.0052631578947368585,-0.0016377333770062562,0.00414209102883246
wdbc,logistic_regression,mar,simple,0.5,0.9613879832324173,0.019188225891450854,0.9930043005665345,0.004558314178281305,0.028124416731580577,0.009519985066897716,-0.014035087719298244,-0.0023755365959754913,0.008239005231279729
