dataset,model,mechanism,variant,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
wdbc,logistic_regression,mar,simple,0.1,0.971914299021891,0.01899741836160694,0.9951193595682624,0.005948649154656352,0.021240833193635324,0.009975632136031786,0.03451071079390276,0.010848671034282319,-0.0035087719298245723,-0.0002604775942476545,0.0013554216933344746,0.0031527016140855636
wdbc,logistic_regression,mar,simple,0.2,0.971914299021891,0.01685096886113348,0.9935462040113203,0.006243387504384031,0.024043800253750934,0.010719585844338282,0.03866201237167368,0.013691543032755807,-0.0035087719298245723,-0.001833633151189673,0.004158388753450085,0.007304003191856481
wdbc,logistic_regression,mar,simple,0.3,0.9701599130569788,0.018167418880940745,0.9937421037855036,0.006472730094798392,0.024027502529133306,0.007990904300488462,0.03501283202750573,0.007287654845956154,-0.0052631578947368585,-0.0016377333770062562,0.00414209102883246,0.0036548228476885325
wdbc,logistic_regression,mar,simple,0.5,0.9613879832324173,0.019188225891450854,0.9930043005665345,0.004558314178281305,0.028124416731580577,0.009519985066897716,0.035852749129708525,0.008163376926398149,-0.014035087719298244,-0.0023755365959754913,0.008239005231279729,0.004494739949891327
wdbc,logistic_regression,mar,simple_plus_indicators,0.1,0.9684055270920664,0.0201725994153219,0.9946592344766272,0.006265209207120109,0.024345771971687226,0.014102368985814595,0.036364000287066,0.01219324154102794,-0.007017543859649122,-0.000720602685882743,0.004460360471386376,0.005005991107248807
wdbc,logistic_regression,mar,simple_plus_indicators,0.2,0.9701599130569788,0.02017428714087789,0.9940091669742832,0.005573453948229405,0.02178274382604387,0.007609949681796216,0.03192323713171142,0.005871715782791655,-0.005263157894736836,-0.0013706701882266969,0.0018973323257430188,0.0005652279518942191
wdbc,logistic_regression,mar,simple_plus_indicators,0.3,0.971914299021891,0.01685096886113347,0.9939395633057604,0.006015237980838564,0.023176452994747583,0.005843281508748992,0.03702920161474228,0.009140568814567533,-0.0035087719298245723,-0.0014402738567494745,0.003291041494446735,0.005671192434925081
wdbc,logistic_regression,mar,simple_plus_indicators,0.5,0.9578792113025928,0.021812319406796128,0.9910282972598727,0.005878618434189802,0.029593958821760264,0.009359661390971656,0.03928158846070741,0.013875816507393252,-0.017543859649122796,-0.004351539902637191,0.009708547321459414,0.007923579280890212
