dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
statlog_heart,random_forest,mar,0.1,0.8185185185185185,0.05767559815702751,0.8919444444444444,0.036189818072197726,0.13015046296296295,0.025606276895146187,-0.0037037037037037203,0.00430555555555554,-0.0014550925925925855
statlog_heart,random_forest,mar,0.2,0.8111111111111111,0.05302896690102354,0.8922222222222222,0.037795900473366,0.12910185185185186,0.02765953499067194,-0.011111111111111138,0.004583333333333339,-0.002503703703703697
statlog_heart,random_forest,mar,0.3,0.8185185185185185,0.06057565642146714,0.8819444444444444,0.034151560572046706,0.13095287037037037,0.02343025618602064,-0.0037037037037037424,-0.005694444444444424,-0.0006526851851851728
statlog_heart,random_forest,mar,0.5,0.8222222222222222,0.05335133441069605,0.8775000000000001,0.03350145680451361,0.1336912037037037,0.02533012577075113,-2.2204460492503132e-17,-0.010138888888888854,0.002085648148148156
