dataset,model,imputer,mechanism,regime,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.1,0.8333333333333334,0.07965115988002432,0.8949999999999999,0.04589221806594607,0.1329314462513425,0.03818030773419349,0.1251365590283406,0.020924321497744834,-0.0037037037037036978,-0.0016666666666667273,0.004933950346137289,0.00671754023791867
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.2,0.8074074074074075,0.0912870929175277,0.881111111111111,0.04346356853875966,0.13756043447149527,0.037303177436886686,0.12557727593086845,0.041050685975502904,-0.029629629629629606,-0.015555555555555633,0.00956293856629003,0.007158257140446556
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.3,0.7962962962962963,0.0858668379212565,0.8761111111111111,0.05155191857382201,0.14209133984622185,0.04220861249678003,0.12363160932050024,0.022438457521024628,-0.04074074074074072,-0.02055555555555557,0.014093843941016601,0.00521259053007834
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.5,0.7666666666666666,0.07476529347476427,0.8375,0.07715524673517306,0.15803557505347027,0.04232266982551745,0.11955845373503012,0.018887488398211836,-0.07037037037037037,-0.05916666666666668,0.030038079148265045,0.001139434944608214
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.1,0.825925925925926,0.0700284088932927,0.8880555555555556,0.03555392791413425,0.13504812738724267,0.0340341517721398,0.10342352593592814,0.01780323164778484,-0.011111111111111094,-0.008611111111111147,0.007050631482037442,-0.01499549285449377
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.2,0.8,0.09015304773805986,0.8761111111111111,0.0411472251288282,0.13992241239535153,0.03319399791967497,0.13776192524070527,0.03909553116646422,-0.03703703703703702,-0.020555555555555594,0.011924916490146287,0.01934290645028338
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.3,0.7777777777777778,0.08586683792125653,0.8380555555555557,0.07570782246714042,0.16718983818102026,0.04621237344664702,0.15521980360357132,0.05904671432590302,-0.059259259259259255,-0.05861111111111113,0.03919234227581503,0.03680078481314942
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.5,0.737037037037037,0.07219847662821452,0.7833333333333333,0.07911791871458948,0.18524618946834132,0.04084220990600245,0.1734498860095749,0.028221928000774908,-0.09999999999999998,-0.11333333333333337,0.0572486935631361,0.055030867219153
