dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
wdbc,random_forest,mar,0.1,0.95960254618848,0.014622841295779369,0.9893769269362946,0.008574926734545841,0.032744152693681104,0.006667691370123525,0.005278683434249354,-0.00020074148595274898,-0.0008533197484862601
wdbc,random_forest,mar,0.2,0.9578326346840551,0.011390313941476193,0.9895421300412293,0.009202259033789593,0.03249254385964913,0.007650654069729936,0.00350877192982455,-3.5538381018196395e-05,-0.0011049285825182422
wdbc,random_forest,mar,0.3,0.9543238627542306,0.011366375671823352,0.9911519396308947,0.005888238385827814,0.03345553990063655,0.007086214884315265,0.0,0.00157427120864726,-0.0001419325415308141
wdbc,random_forest,mar,0.5,0.9490607048594939,0.015614015867963313,0.9887512846241965,0.008557691054178262,0.035701154323862755,0.009239633119912664,-0.005263157894736836,-0.000826383798050978,0.002103681881695392
