dataset,model,fold,accuracy,roc_auc,brier
statlog_heart,logistic_regression,0,0.9074074074074074,0.9472222222222223,0.08965282127241327
statlog_heart,random_forest,0,0.8333333333333334,0.9319444444444445,0.1106736111111111
statlog_heart,gradient_boosting,0,0.7777777777777778,0.8486111111111111,0.16916656174711603
statlog_heart,logistic_regression,1,0.9259259259259259,0.9180555555555555,0.09333818132280701
statlog_heart,random_forest,1,0.9074074074074074,0.9097222222222222,0.1119875
statlog_heart,gradient_boosting,1,0.8888888888888888,0.8666666666666668,0.11334883838846892
statlog_heart,logistic_regression,2,0.7777777777777778,0.8375,0.16379336148650983
statlog_heart,random_forest,2,0.7407407407407407,0.8097222222222222,0.1729185185185185
statlog_heart,gradient_boosting,2,0.7037037037037037,0.8208333333333333,0.19436268387718947
statlog_heart,logistic_regression,3,0.7592592592592593,0.8944444444444444,0.16103550497658342
statlog_heart,random_forest,3,0.7592592592592593,0.8805555555555555,0.15213842592592589
statlog_heart,gradient_boosting,3,0.7407407407407407,0.8708333333333333,0.18006460251593137
statlog_heart,logistic_regression,4,0.8888888888888888,0.9027777777777778,0.10241779209288368
statlog_heart,random_forest,4,0.8703703703703703,0.90625,0.11030972222222223
statlog_heart,gradient_boosting,4,0.8888888888888888,0.9194444444444445,0.09578871295833834
