dataset,model,imputer,mechanism,regime,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.1,0.0,0.09401709401709402,0.8703703703703703,0.9347222222222222,0.10518687018252215,0.10387698390727279,0.0,-0.002777777777777768,0.0034013928460506354,0.0005862734913510692
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.1,0.09650997150997151,0.09401709401709402,0.8148148148148148,0.9083333333333332,0.12389889376359446,0.0817926665359585,-0.05555555555555558,-0.029166666666666785,0.022113416427122945,-0.021498043879963222
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.2,0.0,0.1866096866096866,0.8518518518518519,0.9041666666666666,0.11644412663462492,0.11540209262457256,-0.01851851851851849,-0.03333333333333344,0.0146586492981534,0.012111382208650837
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.2,0.2037037037037037,0.1866096866096866,0.8518518518518519,0.8958333333333334,0.12471828320741461,0.0991391144399633,-0.01851851851851849,-0.04166666666666663,0.022932805870943096,-0.004151595975958419
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.3,0.0,0.2948717948717949,0.8518518518518519,0.9125,0.11253891467791455,0.13552214241828772,-0.01851851851851849,-0.025000000000000022,0.010753437341443031,0.032231432002366
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.3,0.3005698005698006,0.2948717948717949,0.7962962962962963,0.8569444444444445,0.1544640228497024,0.1291538482514549,-0.07407407407407407,-0.08055555555555549,0.05267854551323088,0.02586313783553318
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.5,0.0,0.5156695156695157,0.7962962962962963,0.8041666666666667,0.1762957889610173,0.1390458049849433,-0.07407407407407407,-0.1333333333333333,0.07451031162454579,0.03575509456902157
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.5,0.5028490028490028,0.5156695156695157,0.7777777777777778,0.7791666666666667,0.18621904993899896,0.19848833482867675,-0.09259259259259256,-0.15833333333333333,0.08443357260252744,0.09519762441275503
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.1,0.0,0.10398860398860399,0.9259259259259259,0.923611111111111,0.09645810643215878,0.11240287798101953,0.03703703703703709,-0.008333333333333415,0.0015510087498015745,0.03679401748312541
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.1,0.10790598290598291,0.10398860398860399,0.9074074074074074,0.9152777777777779,0.0947101798057117,0.09112272622969739,0.0185185185185186,-0.016666666666666607,-0.00019691787664551097,0.015513865731803272
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.2,0.0,0.18803418803418803,0.9074074074074074,0.9194444444444445,0.0979206884255808,0.08760951696788671,0.0185185185185186,-0.012499999999999956,0.0030135907432235903,0.012000656469992599
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.2,0.20477207977207978,0.18803418803418803,0.8888888888888888,0.9097222222222222,0.10462301488497622,0.13746686710255074,0.0,-0.022222222222222254,0.00971591720261901,0.061858006604656623
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.3,0.0,0.2934472934472934,0.9074074074074074,0.9055555555555556,0.10557704694268305,0.10335622519798743,0.0185185185185186,-0.026388888888888906,0.010669949260325842,0.027747364700093313
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.3,0.29736467236467234,0.2934472934472934,0.8518518518518519,0.8944444444444444,0.12486352440811335,0.11482868209944558,-0.03703703703703698,-0.03750000000000009,0.029956426725756144,0.03921982160155146
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.5,0.0,0.5,0.8333333333333334,0.9041666666666667,0.11940809235499715,0.10664192308253057,-0.05555555555555547,-0.02777777777777779,0.024500994672639942,0.03103306258463645
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.5,0.5064102564102564,0.5,0.8148148148148148,0.8958333333333333,0.12571077602775324,0.1282841148831676,-0.07407407407407407,-0.036111111111111205,0.030803678345396032,0.052675254385273484
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.1,0.0,0.10826210826210826,0.7407407407407407,0.8305555555555556,0.1793746392826053,0.15000868421613262,-0.03703703703703709,0.004166666666666652,0.006907747479837079,0.017158953600744375
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.1,0.10505698005698005,0.10826210826210826,0.7592592592592593,0.8402777777777778,0.17373120017917928,0.1280160981241079,-0.01851851851851849,0.01388888888888884,0.0012643083764110608,-0.004833632491280326
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.2,0.0,0.21225071225071226,0.7407407407407407,0.8291666666666666,0.1791528445076792,0.11643435684224127,-0.03703703703703709,0.002777777777777657,0.006685952704910986,-0.016415373773146974
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.2,0.20975783475783477,0.21225071225071226,0.7222222222222222,0.8666666666666667,0.16390901320054094,0.1675004444897277,-0.05555555555555558,0.040277777777777746,-0.008557878602227287,0.03465071387433946
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.3,0.0,0.3076923076923077,0.7037037037037037,0.8041666666666667,0.19279223201782328,0.14694770258322284,-0.07407407407407407,-0.022222222222222254,0.020325340215055054,0.014097971967834605
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.3,0.3091168091168091,0.3076923076923077,0.6481481481481481,0.7958333333333334,0.2116434131683744,0.22866721777984333,-0.12962962962962965,-0.030555555555555558,0.039176521365606176,0.0958174871644551
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,2,0.5,0.0,0.49002849002849,0.6481481481481481,0.7347222222222223,0.21386613873678353,0.13842362043586232,-0.12962962962962965,-0.09166666666666667,0.04139924693401531,0.005573889820474076
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,2,0.5,0.4960826210826211,0.49002849002849,0.6296296296296297,0.6902777777777778,0.23599980738714363,0.16738377035461333,-0.14814814814814814,-0.13611111111111118,0.0635329155843754,0.034534039739225086
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.1,0.0,0.09116809116809117,0.7592592592592593,0.8624999999999999,0.16842648524325235,0.11425412243547979,-0.01851851851851849,-0.002777777777777879,0.0013279098468111095,-0.05144724422688428
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.1,0.11182336182336182,0.09116809116809117,0.7592592592592593,0.8597222222222223,0.1669794374110226,0.10776703445610222,-0.01851851851851849,-0.005555555555555536,-0.00011913798541862697,-0.057934332206261846
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.2,0.0,0.1794871794871795,0.6851851851851852,0.8388888888888888,0.1757372653032364,0.1958802730705808,-0.09259259259259256,-0.026388888888889017,0.008638689906795172,0.030178906408216744
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.2,0.21616809116809116,0.1794871794871795,0.6851851851851852,0.8083333333333332,0.18482911609087385,0.18533720173205487,-0.09259259259259256,-0.056944444444444575,0.01773054069443261,0.0196358350696908
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.3,0.0,0.2849002849002849,0.7222222222222222,0.8388888888888889,0.18317330732072287,0.13624521033042666,-0.05555555555555558,-0.026388888888888906,0.016074731924281632,-0.029456156331937405
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.3,0.31695156695156695,0.2849002849002849,0.7407407407407407,0.7291666666666666,0.22022058086224813,0.2074750883446494,-0.03703703703703709,-0.13611111111111118,0.05312200546580689,0.041773721682285325
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,3,0.5,0.0,0.4886039886039886,0.7407407407407407,0.8208333333333333,0.16853016725729159,0.116864581233605,-0.03703703703703709,-0.04444444444444451,0.0014315918608503453,-0.048836785428759064
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,3,0.5,0.50997150997151,0.4886039886039886,0.7592592592592593,0.7333333333333334,0.20528312524620013,0.1948890334241133,-0.01851851851851849,-0.13194444444444442,0.038184549849758886,0.02918766676174922
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,4,0.1,0.0,0.1111111111111111,0.8703703703703703,0.923611111111111,0.11521113011617404,0.14514012660179815,0.0,0.001388888888888773,0.011481692808186048,0.030495700841256773
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,4,0.1,0.10398860398860399,0.1111111111111111,0.8888888888888888,0.9166666666666666,0.11592092577670533,0.10841910433377465,0.01851851851851849,-0.005555555555555647,0.012191488468717343,-0.006225321426766725
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,4,0.2,0.0,0.21937321937321938,0.8518518518518519,0.9138888888888889,0.11854724748635499,0.11256014014906095,-0.01851851851851849,-0.008333333333333415,0.014817810178367002,-0.002084285611480427
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,4,0.2,0.20975783475783477,0.21937321937321938,0.8518518518518519,0.9,0.121532634592952,0.0993659984392298,-0.01851851851851849,-0.022222222222222254,0.017803197284964004,-0.015278427321311572
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,4,0.3,0.0,0.3247863247863248,0.7962962962962963,0.9194444444444445,0.11637519827196544,0.09608676607257656,-0.07407407407407407,-0.002777777777777768,0.012645760963977445,-0.018557659687964814
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,4,0.3,0.31374643874643876,0.3247863247863248,0.8518518518518519,0.913888888888889,0.12475764961666302,0.0959741815424634,-0.01851851851851849,-0.008333333333333304,0.021028212308675034,-0.018670244218077975
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,4,0.5,0.0,0.5085470085470085,0.8148148148148148,0.9236111111111112,0.11207768795726183,0.09681633893820941,-0.05555555555555558,0.001388888888888884,0.008348250649273845,-0.01782808682233196
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,4,0.5,0.5060541310541311,0.5085470085470085,0.7037037037037037,0.8180555555555555,0.1730181887416107,0.17820417655730353,-0.16666666666666663,-0.10416666666666674,0.06928875143362272,0.06355975079676215
