dataset,model,imputer,mechanism,regime,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.1,0.9754230709517155,0.014392518461164194,0.9953108833881844,0.00616291573708572,0.021421897005666955,0.008216340557543248,0.0323078037671386,0.006419958746765385,-2.2204460492503132e-17,-6.895377432554195e-05,0.0015364855053661083,0.0009497945873214036
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.2,0.971914299021891,0.012982103923800092,0.9943871671025291,0.007196422023875863,0.021830832592209776,0.009021726869498339,0.029716691061339996,0.009278398578652855,-0.00350877192982455,-0.0009926700599808935,0.0019454210919089272,-0.0016413181184772065
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.3,0.9666511411271541,0.019979264186020376,0.9945774561234764,0.007259410437668175,0.022711895540135717,0.008726726095768892,0.037805759969831945,0.01164758824090112,-0.00877192982456143,-0.0008023810390334951,0.0028264840398348695,0.0064477507900147415
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.5,0.9508150908244062,0.009892979278348736,0.9908258118911574,0.009101130262012617,0.03321481945799716,0.006219296316367115,0.0464336396613962,0.010168845283384305,-0.02460798012730945,-0.0045540252713524906,0.013329407957696309,0.015075630481579
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.1,0.9701599130569788,0.01707576447401545,0.9946589311926685,0.005837236454782706,0.021247951866167625,0.008172089167624321,0.034747791871604636,0.011557976063284807,-0.0052631578947368585,-0.0007209059698414233,0.0013625403658667774,0.0033897826917874394
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.2,0.9666511411271541,0.023517323468219255,0.9921680167135458,0.006521548093168151,0.024053517019158126,0.01022028736192661,0.0373613111460256,0.01214122242406315,-0.008771929824561408,-0.0032118204489642197,0.00416810551885728,0.006003301966208403
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.3,0.9666511411271541,0.020919951573517347,0.9941276860127172,0.005492433623272821,0.02324246342069278,0.008328807410857167,0.03358825912346947,0.011048382190626382,-0.008771929824561408,-0.0012521511497928018,0.003357051920391929,0.0022302499436522754
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.5,0.9578326346840553,0.022681997617505712,0.9957735430671887,0.0044200579063015276,0.02805407177739771,0.006749941385316577,0.039750579682434374,0.012293772638032387,-0.017590436267660305,0.0003937059046787539,0.00816866027709686,0.008392570502617172
