dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
statlog_heart,gradient_boosting,mcar,0,0.1,0.09650997150997151,0.09401709401709402,0.7777777777777778,0.8694444444444445,0.1555894732182658,0.0,0.015277777777777835,-0.01537627820900389
statlog_heart,gradient_boosting,mcar,0,0.2,0.2037037037037037,0.1866096866096866,0.7222222222222222,0.8083333333333333,0.20186258644353713,-0.05555555555555558,-0.04583333333333328,0.030896835016267443
statlog_heart,gradient_boosting,mcar,0,0.3,0.3005698005698006,0.2948717948717949,0.7777777777777778,0.8277777777777777,0.1860482780007952,0.0,-0.026388888888888906,0.015082526573525518
statlog_heart,gradient_boosting,mcar,0,0.5,0.5028490028490028,0.5156695156695157,0.7407407407407407,0.8208333333333334,0.18154827490236702,-0.03703703703703709,-0.033333333333333215,0.010582523475097333
statlog_heart,gradient_boosting,mcar,1,0.1,0.10790598290598291,0.10398860398860399,0.8518518518518519,0.8708333333333333,0.13071582108040666,0.0,1.1102230246251565e-16,0.008061791888201983
statlog_heart,gradient_boosting,mcar,1,0.2,0.20477207977207978,0.18803418803418803,0.8333333333333334,0.8861111111111111,0.13387849090259543,-0.01851851851851849,0.015277777777777835,0.011224461710390751
statlog_heart,gradient_boosting,mcar,1,0.3,0.29736467236467234,0.2934472934472934,0.7592592592592593,0.85,0.15856777252974755,-0.09259259259259256,-0.02083333333333326,0.03591374333754287
statlog_heart,gradient_boosting,mcar,1,0.5,0.5064102564102564,0.5,0.7222222222222222,0.8166666666666667,0.17744387950134205,-0.12962962962962965,-0.054166666666666585,0.05478985030913737
statlog_heart,gradient_boosting,mcar,2,0.1,0.10505698005698005,0.10826210826210826,0.6851851851851852,0.7861111111111112,0.2206501306750223,-0.05555555555555547,0.009722222222222299,0.005204006884421936
statlog_heart,gradient_boosting,mcar,2,0.2,0.20975783475783477,0.21225071225071226,0.7222222222222222,0.7875,0.2093428664033,-0.01851851851851849,0.011111111111111072,-0.006103257387300359
statlog_heart,gradient_boosting,mcar,2,0.3,0.3091168091168091,0.3076923076923077,0.7037037037037037,0.8027777777777777,0.20067801102278865,-0.03703703703703698,0.026388888888888795,-0.014768112767811703
statlog_heart,gradient_boosting,mcar,2,0.5,0.4960826210826211,0.49002849002849,0.6481481481481481,0.7291666666666666,0.22925367535038987,-0.09259259259259256,-0.047222222222222276,0.013807551559789522
statlog_heart,gradient_boosting,mcar,3,0.1,0.11182336182336182,0.09116809116809117,0.7222222222222222,0.8611111111111112,0.18498213594859833,-0.01851851851851849,-0.01388888888888884,0.005931657339579316
statlog_heart,gradient_boosting,mcar,3,0.2,0.21616809116809116,0.1794871794871795,0.7592592592592593,0.8916666666666666,0.15465614165917715,0.0185185185185186,0.016666666666666607,-0.02439433694984186
statlog_heart,gradient_boosting,mcar,3,0.3,0.31695156695156695,0.2849002849002849,0.7592592592592593,0.825,0.1834316244189079,0.0185185185185186,-0.050000000000000044,0.004381145809888881
statlog_heart,gradient_boosting,mcar,3,0.5,0.50997150997151,0.4886039886039886,0.6481481481481481,0.7666666666666667,0.21349252856033954,-0.09259259259259256,-0.10833333333333328,0.034442049951320525
statlog_heart,gradient_boosting,mcar,4,0.1,0.10398860398860399,0.1111111111111111,0.8333333333333334,0.8958333333333334,0.12499578510897376,-0.05555555555555547,-0.03194444444444444,0.03462390717462706
statlog_heart,gradient_boosting,mcar,4,0.2,0.20975783475783477,0.21937321937321938,0.7407407407407407,0.85,0.16977890431811427,-0.14814814814814814,-0.07777777777777783,0.07940702638376756
statlog_heart,gradient_boosting,mcar,4,0.3,0.31374643874643876,0.3247863247863248,0.7222222222222222,0.8263888888888888,0.1900726187941092,-0.16666666666666663,-0.10138888888888897,0.0997007408597625
statlog_heart,gradient_boosting,mcar,4,0.5,0.5060541310541311,0.5085470085470085,0.7037037037037037,0.8402777777777778,0.16906803987273858,-0.18518518518518512,-0.08750000000000002,0.07869616193839188
