dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
wdbc,gradient_boosting,mar,0.1,0.9630957925787922,0.0168656423250938,0.992793691520354,0.0071027824514225,0.0286273776600238,0.0134347348386028,0.0052786834342493,0.0020875468140453,-0.0002003236200433
wdbc,gradient_boosting,mar,0.2,0.971883247942866,0.0209380766719487,0.9939117694972592,0.0065724224811914,0.0260204421097027,0.0164109494789882,0.0140661387983231,0.0032056247909507,-0.0028072591703644
wdbc,gradient_boosting,mar,0.3,0.9560627231796304,0.0223647942937742,0.991603583603256,0.0079997671355358,0.0304898827610332,0.0166112778780888,-0.0017543859649123,0.0008974388969475,0.0016621814809661
wdbc,gradient_boosting,mar,0.5,0.9490451793199812,0.0243137458608983,0.9879508965940346,0.0072002578699452,0.0428852544544641,0.0196008318057617,-0.0087719298245614,-0.0027552481122739,0.0140575531743969
wdbc,gradient_boosting,mcar,0.1,0.9630957925787922,0.0318660327478144,0.9918172904784436,0.0090424583107396,0.0306023466302442,0.0199859613718525,0.0052786834342493,0.0011111457721349,0.001774645350177
wdbc,gradient_boosting,mcar,0.2,0.9630802670392796,0.0200378425618283,0.990223858222548,0.0092529107695045,0.0314666123660265,0.0191155629844915,0.0052631578947368,-0.0004822864837604,0.0026389110859593
wdbc,gradient_boosting,mcar,0.3,0.9525384257102936,0.0100647834957765,0.9893560761641338,0.0065289806915859,0.0388615136151457,0.0096484801597219,-0.0052786834342493,-0.0013500685421746,0.0100338123350785
wdbc,gradient_boosting,mcar,0.5,0.9367644775655954,0.0250449257876272,0.9793383037241536,0.0126896195472407,0.0528277159926108,0.0226345145740519,-0.0210526315789473,-0.0113678409821547,0.0240000147125436
wdbc,gradient_boosting,mnar,0.1,0.9613414066138798,0.0192046593639029,0.9931845378905648,0.0086559896093856,0.0290390449016464,0.0140841315755576,0.003524297469337,0.0024783931842562,0.0002113436215792
wdbc,gradient_boosting,mnar,0.2,0.9578171091445428,0.014426601656033,0.9913405497584992,0.0087845542503196,0.0312588658861274,0.0101575325787781,-4.440892098500626e-17,0.0006344050521908,0.0024311646060602
wdbc,gradient_boosting,mnar,0.3,0.9631113181183046,0.0113839635566481,0.9929188828058793,0.0050519735704138,0.028033928809298,0.0099336225582526,0.0052942089737618,0.0022127380995707,-0.0007937724707691
wdbc,gradient_boosting,mnar,0.5,0.9542928116752056,0.0169227846549851,0.9918715783070516,0.0071702898849513,0.0331020770836396,0.015764046769104,-0.003524297469337,0.0011654336007431,0.0042743758035724
wdbc,logistic_regression,mar,0.1,0.971914299021891,0.0189974183616069,0.9951193595682624,0.0059486491546563,0.0212408331936353,0.0099756321360317,-0.0035087719298245,-0.0002604775942476,0.0013554216933344
wdbc,logistic_regression,mar,0.2,0.971914299021891,0.0168509688611334,0.9935462040113204,0.006243387504384,0.0240438002537509,0.0107195858443382,-0.0035087719298245,-0.0018336331511896,0.00415838875345
wdbc,logistic_regression,mar,0.3,0.9701599130569788,0.0181674188809407,0.9937421037855036,0.0064727300947983,0.0240275025291333,0.0079909043004884,-0.0052631578947368,-0.0016377333770062,0.0041420910288324
wdbc,logistic_regression,mar,0.5,0.9613879832324173,0.0191882258914508,0.9930043005665344,0.0045583141782813,0.0281244167315805,0.0095199850668977,-0.0140350877192982,-0.0023755365959754,0.0082390052312797
wdbc,logistic_regression,mcar,0.1,0.9683744760130416,0.0132806448718135,0.9938593230355433,0.0076020686547237,0.0243150630334022,0.0088166768678624,-0.0070485949386741,-0.0015205141269667,0.0044296515331013
wdbc,logistic_regression,mcar,0.2,0.9631113181183046,0.0156529471835063,0.9925444787588582,0.0066499408770146,0.0270788558396077,0.0072095511100851,-0.0123117528334109,-0.0028353584036518,0.0071934443393068
wdbc,logistic_regression,mcar,0.3,0.9525694767893184,0.0170443626752541,0.9910802021430912,0.0049330195387969,0.0357848586717993,0.0091205002830764,-0.0228535941623971,-0.0042996350194187,0.0158994471714985
wdbc,logistic_regression,mcar,0.5,0.9402421984163948,0.01303144554325,0.9868243050031456,0.0082185166775171,0.0434635543159504,0.0128469117465455,-0.0351808725353206,-0.0085555321593644,0.0235781428156496
wdbc,logistic_regression,mnar,0.1,0.9701443875174662,0.0132675932178397,0.9957117597921724,0.0059722826785336,0.0222039577439182,0.0079269367630861,-0.0052786834342493,0.0003319226296625,0.0023185462436174
wdbc,logistic_regression,mnar,0.2,0.9754230709517157,0.01567220354891,0.9940708852598796,0.0066368784880348,0.0225787297575027,0.011174225335873,0.0,-0.0013089519026302,0.0026933182572018
wdbc,logistic_regression,mnar,0.3,0.9684055270920664,0.0170737704652634,0.9932742016266418,0.0069995561525163,0.0237726697981462,0.0087431290993096,-0.0070175438596491,-0.002105635535868,0.0038872582978453
