dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
statlog_heart,logistic_regression,mcar,0.1,0.8222222222222222,0.05797213274999453,0.8894444444444444,0.046133277804505206,0.13191619717636288,0.036569621628941534,-0.029629629629629627,-0.010555555555555563,0.009868664946123434
statlog_heart,logistic_regression,mcar,0.2,0.8148148148148149,0.06547285010986553,0.8780555555555555,0.05082650227325635,0.13771368004078127,0.03242763427869057,-0.03703703703703705,-0.021944444444444478,0.015666147810541837
statlog_heart,logistic_regression,mcar,0.3,0.7925925925925925,0.04421235698634563,0.8616666666666667,0.07370669894341896,0.14803415130285044,0.037146523865155524,-0.059259259259259275,-0.03833333333333333,0.025986619072611
statlog_heart,logistic_regression,mcar,0.5,0.7666666666666666,0.06879324304076562,0.8177777777777777,0.05792182897323715,0.17120250164976325,0.031145591944739075,-0.08518518518518521,-0.0822222222222222,0.049154969419523804
