dataset,model,mechanism,variant,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
wdbc,logistic_regression,mnar,simple,0.1,0.9701443875174662,0.013267593217839742,0.9957117597921725,0.005972282678533689,0.022203957743918264,0.007926936763086147,0.03448256035471018,0.012279026137584373,-0.005278683434249354,0.00033192262966257323,0.002318546243617413,0.003124551174892981
wdbc,logistic_regression,mnar,simple,0.2,0.9754230709517155,0.01567220354891,0.9940708852598796,0.006636878488034865,0.022578729757502747,0.011174225335873093,0.035645491673953505,0.008735134839669633,0.0,-0.0013089519026302288,0.0026933182572018983,0.004287482494136309
wdbc,logistic_regression,mnar,simple,0.3,0.9684055270920664,0.017073770465263444,0.9932742016266418,0.0069995561525163395,0.02377266979814622,0.008743129099309615,0.03251357060438546,0.012434935375824342,-0.007017543859649122,-0.002105635535868089,0.0038872582978453697,0.001155561424568259
wdbc,logistic_regression,mnar,simple,0.5,0.9631423691973297,0.01684086337457674,0.992941629102782,0.006085643260012225,0.02510671120155499,0.010165994677761206,0.0357009518586809,0.01644941592541506,-0.01228070175438598,-0.0024382080597278753,0.005221299701254139,0.004342942678863698
wdbc,logistic_regression,mnar,simple_plus_indicators,0.1,0.971914299021891,0.01566785802639835,0.9955095993705558,0.006463618556876513,0.021109200872326418,0.0070984140288922765,0.037852735152045736,0.012478331242082351,-0.0035087719298245723,0.00012976220804588045,0.0012237893720255667,0.006494725972228535
wdbc,logistic_regression,mnar,simple_plus_indicators,0.2,0.971914299021891,0.014387786442391333,0.9947902314836478,0.0064614161106253155,0.021709608005691043,0.008890357174742208,0.034681409058471384,0.007949462009708834,-0.0035087719298245723,-0.0005896056788621485,0.001824196505390193,0.0033233998786541866
wdbc,logistic_regression,mnar,simple_plus_indicators,0.3,0.9754230709517155,0.01141042658308278,0.9947896465788701,0.005315801552287844,0.02021756192481288,0.005686551733676188,0.02851232809636755,0.007613880386710067,0.0,-0.0005901905836396493,0.00033215042451203124,-0.0028456810834496483
wdbc,logistic_regression,mnar,simple_plus_indicators,0.5,0.9771774569166279,0.011745663223682657,0.9951275049088675,0.0055601167415848946,0.020805650283174305,0.010611983050968195,0.03328100452295105,0.011068010406818094,0.001754385964912264,-0.00025233225364242886,0.0009202387828734563,0.0019229953431338562
