dataset,model,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier
statlog_heart,logistic_regression,0.8518518518518519,0.0774685209753773,0.9,0.0403136813158333,0.1220475322302394,0.0371542295862485
statlog_heart,random_forest,0.8222222222222222,0.0712421631913753,0.8876388888888889,0.0472181370782012,0.1316055555555555,0.0291757030497675
statlog_heart,gradient_boosting,0.8,0.0852656624683061,0.8652777777777778,0.0361244633434443,0.1505462798974088,0.0433588639034478
wdbc,logistic_regression,0.9754230709517157,0.01567220354891,0.99537983716251,0.005974901614609,0.0198854115003008,0.0084924646017929
wdbc,gradient_boosting,0.9578171091445428,0.0200123391301324,0.9907061447063084,0.0090388269627396,0.0288277012800671,0.0163958454539303
wdbc,random_forest,0.9543238627542306,0.0113663756718233,0.9895776684222476,0.0086121849396868,0.0335974724421673,0.0076911273869555
