dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
statlog_heart,gradient_boosting,mar,0.1,0.7925925925925925,0.0710010722691882,0.8666666666666666,0.0523004732882298,0.1531177831217167,0.0445471401590388,-0.0074074074074073,0.0058333333333333,-0.0025798690689713
statlog_heart,gradient_boosting,mar,0.2,0.8111111111111111,0.0513868034278207,0.8766666666666667,0.042291609651485,0.1462627240233394,0.0364186782506576,0.0111111111111111,0.0158333333333333,-0.0094349281673486
statlog_heart,gradient_boosting,mar,0.3,0.8111111111111111,0.0513868034278207,0.8802777777777777,0.0268490579644844,0.1454388972815301,0.0259161784289326,0.0111111111111111,0.0194444444444444,-0.0102587549091579
statlog_heart,gradient_boosting,mar,0.5,0.7962962962962963,0.0570779074348979,0.8702777777777777,0.0330952143047381,0.1513926463110952,0.0318775403152349,-0.0037037037037036,0.0094444444444444,-0.0043050058795928
statlog_heart,gradient_boosting,mcar,0.1,0.774074074074074,0.0710010722691882,0.8566666666666667,0.0415205772278436,0.1633866692062534,0.0398356271681295,-0.0259259259259258,-0.0041666666666666,0.0076890170155652
statlog_heart,gradient_boosting,mcar,0.2,0.7555555555555555,0.0461107392518101,0.8447222222222223,0.0462147429846342,0.1739037979453447,0.031729850501015,-0.0444444444444444,-0.0161111111111111,0.0182061457546567
statlog_heart,gradient_boosting,mcar,0.3,0.7444444444444445,0.0304290309725092,0.826388888888889,0.0167244369149893,0.1837596609532697,0.01554075789719,-0.0555555555555555,-0.0344444444444444,0.0280620087625816
statlog_heart,gradient_boosting,mcar,0.5,0.6925925925925925,0.042632831234153,0.7947222222222223,0.0456160675341918,0.1941612796374354,0.0258524827600732,-0.1074074074074074,-0.066111111111111,0.0384636274467473
statlog_heart,gradient_boosting,mnar,0.1,0.7925925925925925,0.0891969968799429,0.8633333333333333,0.0544826963129658,0.1541351753681426,0.0522113337180703,-0.0074074074074074,0.0025,-0.0015624768225454
statlog_heart,gradient_boosting,mnar,0.2,0.8111111111111111,0.0901530477380598,0.8636111111111111,0.058732102606183,0.1479343272895651,0.052982842448505,0.0111111111111111,0.0027777777777777,-0.0077633249011229
statlog_heart,gradient_boosting,mnar,0.3,0.7851851851851852,0.0967581516860231,0.8705555555555555,0.0514957597439336,0.1515909983835446,0.0482569829889774,-0.0148148148148147,0.0097222222222222,-0.0041066538071434
statlog_heart,gradient_boosting,mnar,0.5,0.8148148148148149,0.0774685209753773,0.891388888888889,0.038582623383597,0.1368834708807867,0.045970905458241,0.0148148148148148,0.0305555555555556,-0.0188141813099013
