dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mcar,simple,0,0.1,0.09692307692307692,0.09912280701754386,0.9736842105263158,0.9963969865705863,0.0208261609512173,0.03713466264060343,0.0,0.0009826400262037405,-0.0001921924065321351,0.007329087063295655
wdbc,logistic_regression,mcar,simple_plus_indicators,0,0.1,0.09692307692307692,0.09912280701754386,0.9736842105263158,0.9954143465443825,0.022786267623844444,0.040150412504838286,0.0,0.0,0.0017679142660950095,0.01034483692753051
wdbc,logistic_regression,mcar,simple,0,0.2,0.20373626373626375,0.20058479532163742,0.9736842105263158,0.9918113331149689,0.02590253378827117,0.02956365825946185,0.0,-0.003603013429413604,0.004884180430521735,-0.0002419173178459244
wdbc,logistic_regression,mcar,simple_plus_indicators,0,0.2,0.20373626373626375,0.20058479532163742,0.9824561403508771,0.9980347199475925,0.018116504190054783,0.03822620547100457,0.00877192982456132,0.0026203734032099746,-0.0029018491676946513,0.008420629893696793
wdbc,logistic_regression,mcar,simple,0,0.3,0.3054945054945055,0.306140350877193,0.9473684210526315,0.9918113331149689,0.03543965946283377,0.03200319507867813,-0.026315789473684292,-0.003603013429413604,0.014421306105084335,0.0021976195013703563
wdbc,logistic_regression,mcar,simple_plus_indicators,0,0.3,0.3054945054945055,0.306140350877193,0.956140350877193,0.9944317065181788,0.03184982074836093,0.04964564221147882,-0.01754385964912286,-0.0009826400262037405,0.010831467390611495,0.019840066634171042
wdbc,logistic_regression,mcar,simple,0,0.5,0.5022710622710622,0.5084795321637426,0.9473684210526315,0.9954143465443827,0.027838960452464492,0.05810735037055497,-0.026315789473684292,1.1102230246251565e-16,0.006820607094715058,0.028301774793247195
wdbc,logistic_regression,mcar,simple_plus_indicators,0,0.5,0.5022710622710622,0.5084795321637426,0.9736842105263158,0.9990173599737963,0.023072433855265154,0.054916932341383104,0.0,0.003603013429413715,0.0020540804975157194,0.02511135676407533
wdbc,logistic_regression,mcar,simple,1,0.1,0.10007326007326008,0.1023391812865497,0.9473684210526315,0.9954143465443825,0.03641532981863728,0.04158459461093495,-0.00877192982456143,-0.0022928267278087278,0.010469879643019958,0.0017601445034024013
wdbc,logistic_regression,mcar,simple_plus_indicators,1,0.1,0.10007326007326008,0.1023391812865497,0.9385964912280702,0.9908286930887651,0.04729755223401483,0.05865828295366392,-0.01754385964912275,-0.006878480183426183,0.021352102058397507,0.018833832846131368
wdbc,logistic_regression,mcar,simple,1,0.2,0.19985347985347984,0.19035087719298247,0.9385964912280702,0.9934490664919752,0.03445884366552947,0.0376333028558743,-0.01754385964912275,-0.004258106780216098,0.008513393489912147,-0.0021911472516582473
wdbc,logistic_regression,mcar,simple_plus_indicators,1,0.2,0.19985347985347984,0.19035087719298247,0.9385964912280702,0.987880773010154,0.04385946729248346,0.04759796010513984,-0.01754385964912275,-0.009826400262037294,0.01791401711686614,0.007773509997607293
wdbc,logistic_regression,mcar,simple,1,0.3,0.2986080586080586,0.289766081871345,0.9298245614035088,0.990501146413364,0.0493166938599365,0.0609003592549895,-0.02631578947368418,-0.007206026858827319,0.023371243684319178,0.021075909147456953
wdbc,logistic_regression,mcar,simple_plus_indicators,1,0.3,0.2986080586080586,0.289766081871345,0.9210526315789473,0.9868981329839501,0.057346651239190534,0.05576857068834641,-0.03508771929824561,-0.010809040288241145,0.03140120106357321,0.01594412058081386
wdbc,logistic_regression,mcar,simple,1,0.5,0.4950915750915751,0.493859649122807,0.9385964912280702,0.9921388797903701,0.0393998449194872,0.04598833691290926,-0.01754385964912275,-0.005568293481821196,0.013454394743869877,0.00616388680537671
wdbc,logistic_regression,mcar,simple_plus_indicators,1,0.5,0.4950915750915751,0.493859649122807,0.9473684210526315,0.9777268260727153,0.048337967705001914,0.04650334104429327,-0.00877192982456143,-0.019980347199475945,0.022392517529384592,0.0066788909367607174
wdbc,logistic_regression,mcar,simple,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.980489417989418,0.03059045900382822,0.03574978231360708,0.0,-0.00462962962962965,0.0006366429923130822,-0.0002648014833799145
wdbc,logistic_regression,mcar,simple_plus_indicators,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.9735449735449736,0.034064446830792725,0.043707292542716616,0.0,-0.01157407407407407,0.004110630819277587,0.007692708745729623
wdbc,logistic_regression,mcar,simple,2,0.2,0.2019047619047619,0.20701754385964913,0.956140350877193,0.9818121693121693,0.033783608392178796,0.03847945145660955,-0.00877192982456143,-0.003306878306878369,0.003829792380663659,0.0024648676596225536
wdbc,logistic_regression,mcar,simple_plus_indicators,2,0.2,0.2019047619047619,0.20701754385964913,0.9473684210526315,0.9735449735449735,0.0454257862956091,0.05593925499447376,-0.01754385964912286,-0.011574074074074181,0.015471970284093965,0.019924671197486768
wdbc,logistic_regression,mcar,simple,2,0.3,0.3035164835164835,0.306140350877193,0.9473684210526315,0.9841269841269842,0.03851529456799693,0.04398688531490834,-0.01754385964912286,-0.0009920634920634885,0.008561478556481796,0.007972301517921346
wdbc,logistic_regression,mcar,simple_plus_indicators,2,0.3,0.3035164835164835,0.306140350877193,0.9385964912280702,0.9738756613756614,0.04846717993398545,0.059157345829771876,-0.02631578947368418,-0.011243386243386277,0.018513363922470313,0.023142762032784883
wdbc,logistic_regression,mcar,simple,2,0.5,0.5022710622710622,0.5105263157894737,0.956140350877193,0.9738756613756614,0.03991602537276729,0.0479682589006597,-0.00877192982456143,-0.011243386243386277,0.009962209361252153,0.011953675103672706
wdbc,logistic_regression,mcar,simple_plus_indicators,2,0.5,0.5022710622710622,0.5105263157894737,0.8947368421052632,0.970568783068783,0.06609878671301866,0.059146564118283035,-0.07017543859649122,-0.014550264550264647,0.03614497070150353,0.023131980321296042
wdbc,logistic_regression,mcar,simple,3,0.1,0.10249084249084249,0.10994152046783626,0.9824561403508771,0.9990079365079365,0.015832968660957337,0.027369261691560065,-0.00877192982456143,-0.0009920634920634885,0.004832923819961558,-0.004563708674421081
wdbc,logistic_regression,mcar,simple_plus_indicators,3,0.1,0.10249084249084249,0.10994152046783626,0.956140350877193,0.9970238095238095,0.03165756008169988,0.04027449505440596,-0.03508771929824561,-0.0029761904761904656,0.020657515240704097,0.008341524688424813
wdbc,logistic_regression,mcar,simple,3,0.2,0.20351648351648352,0.204093567251462,0.9736842105263158,0.9993386243386243,0.01717535571186989,0.035406406838520324,-0.01754385964912275,-0.000661375661375696,0.0061753108708741105,0.003473436472539178
wdbc,logistic_regression,mcar,simple_plus_indicators,3,0.2,0.20351648351648352,0.204093567251462,0.9736842105263158,0.998015873015873,0.01870325808524008,0.04105147461070511,-0.01754385964912275,-0.001984126984126977,0.0077032132442443006,0.009118504244723963
wdbc,logistic_regression,mcar,simple,3,0.3,0.30153846153846153,0.3,0.9736842105263158,0.998015873015873,0.025053913414088833,0.037731718253215134,-0.01754385964912275,-0.001984126984126977,0.014053868573093055,0.005798747887233988
wdbc,logistic_regression,mcar,simple_plus_indicators,3,0.3,0.30153846153846153,0.3,0.956140350877193,0.9920634920634921,0.03968076429869312,0.04689205382293513,-0.03508771929824561,-0.007936507936507908,0.02868071945769734,0.014959083456953987
wdbc,logistic_regression,mcar,simple,3,0.5,0.4988278388278388,0.5046783625730994,0.9210526315789473,0.986441798941799,0.06272980316222486,0.07806445738976892,-0.07017543859649122,-0.013558201058201047,0.05172975832122908,0.04613148702378777
wdbc,logistic_regression,mcar,simple_plus_indicators,3,0.5,0.4988278388278388,0.5046783625730994,0.9122807017543859,0.9837962962962963,0.061823374843817676,0.07933030678446926,-0.07894736842105265,-0.01620370370370372,0.050823330002821895,0.04739733641848811
