dataset,model,imputer,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
statlog_heart,logistic_regression,iterative,mar,0.1,0.8407407407407408,0.042632831234153123,0.8991666666666667,0.0431741199056753,0.12780053707476408,0.03472987462704804,0.12288110292236734,0.03954198105483548,0.0037037037037037203,0.002499999999999991,-0.00019695883044117124,0.004462084131945432
statlog_heart,logistic_regression,iterative,mar,0.2,0.8333333333333334,0.04140866624999609,0.8961111111111112,0.04000626879890048,0.1299847155436658,0.03131223190095689,0.12167230639078379,0.02444670601090575,-0.0037037037037036978,-0.0005555555555555758,0.001987219638460591,0.0032532876003618814
statlog_heart,logistic_regression,iterative,mar,0.3,0.8296296296296296,0.04014719146051633,0.89,0.038167920082928165,0.13247863759544795,0.03059021274658224,0.133304022383739,0.0217571495684985,-0.0074074074074073955,-0.006666666666666687,0.004481141690242732,0.014885003593317079
statlog_heart,logistic_regression,iterative,mar,0.5,0.8111111111111111,0.05767559815702754,0.8869444444444445,0.043408055234705714,0.13808167652424105,0.0357974557644591,0.11999468238268211,0.04436921396890394,-0.025925925925925908,-0.009722222222222233,0.010084180619035824,0.0015756635922602028
statlog_heart,logistic_regression,iterative,mcar,0.1,0.825925925925926,0.0700284088932927,0.8880555555555556,0.03555392791413425,0.13504812738724267,0.0340341517721398,0.10342352593592814,0.01780323164778484,-0.011111111111111094,-0.008611111111111147,0.007050631482037442,-0.01499549285449377
statlog_heart,logistic_regression,iterative,mcar,0.2,0.8,0.09015304773805986,0.8761111111111111,0.0411472251288282,0.13992241239535153,0.03319399791967497,0.13776192524070527,0.03909553116646422,-0.03703703703703702,-0.020555555555555594,0.011924916490146287,0.01934290645028338
statlog_heart,logistic_regression,iterative,mcar,0.3,0.7777777777777778,0.08586683792125653,0.8380555555555557,0.07570782246714042,0.16718983818102026,0.04621237344664702,0.15521980360357132,0.05904671432590302,-0.059259259259259255,-0.05861111111111113,0.03919234227581503,0.03680078481314942
statlog_heart,logistic_regression,iterative,mcar,0.5,0.737037037037037,0.07219847662821452,0.7833333333333333,0.07911791871458948,0.18524618946834132,0.04084220990600245,0.1734498860095749,0.028221928000774908,-0.09999999999999998,-0.11333333333333337,0.0572486935631361,0.055030867219153
statlog_heart,logistic_regression,iterative,mnar,0.1,0.8444444444444444,0.05493480360811599,0.8983333333333334,0.04461123218469799,0.12883542580083343,0.039347467042234026,0.1162858781144092,0.03311726883094446,0.007407407407407418,0.0016666666666666386,0.0008379298956281894,-0.0021331406760126985
statlog_heart,logistic_regression,iterative,mnar,0.2,0.8444444444444444,0.0426328312341531,0.9066666666666666,0.03465827444715504,0.12470302687724415,0.03537733726584127,0.11956336533092174,0.030534340281449537,0.007407407407407418,0.009999999999999964,-0.0032944690279610887,0.0011443465404998242
statlog_heart,logistic_regression,iterative,mnar,0.3,0.8444444444444444,0.04263283123415306,0.898611111111111,0.03442932015622369,0.12641975912279144,0.034446560307238444,0.12963739740920108,0.02842805649663765,0.007407407407407418,0.0019444444444444374,-0.0015777367824137967,0.011218378618779182
statlog_heart,logistic_regression,iterative,mnar,0.5,0.8333333333333334,0.045360921162651405,0.9016666666666667,0.02797499434570054,0.13111398928120943,0.0313445396761542,0.1282174161251175,0.023415388296904482,-0.0037037037037036757,0.004999999999999982,0.003116493376004198,0.009798397334695588
