dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,clean_accuracy,clean_roc_auc,clean_brier,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
wdbc,gradient_boosting,mcar,0,0.1,0.09692307692307692,0.09912280701754386,0.9824561403508771,0.9996724533245988,0.0074928346745583956,1.0,1.0,0.005731393949383165,0.01754385964912286,0.0003275466754012468,-0.0017614407251752302
wdbc,gradient_boosting,mcar,0,0.2,0.20373626373626375,0.20058479532163742,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.9912280701754386,1.0,0.004593483781215274,0.00877192982456143,0.0003275466754012468,-0.002899350893343122
wdbc,gradient_boosting,mcar,0,0.3,0.3054945054945055,0.306140350877193,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.956140350877193,0.9967245332459875,0.028019849088841472,-0.02631578947368418,-0.0029479200786112214,0.020527014414283076
wdbc,gradient_boosting,mcar,0,0.5,0.5022710622710622,0.5084795321637426,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.9649122807017544,0.9967245332459875,0.026070808879681488,-0.01754385964912275,-0.0029479200786112214,0.018577974205123093
wdbc,gradient_boosting,mcar,1,0.1,0.10007326007326008,0.1023391812865497,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9122807017543859,0.9846053062561414,0.060869660885148946,-0.026315789473684292,-0.007533573534228677,0.013954519894150641
wdbc,gradient_boosting,mcar,1,0.2,0.19985347985347984,0.19035087719298247,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9385964912280702,0.9810022928267278,0.05221891719784335,0.0,-0.011136586963642281,0.005303776206845044
wdbc,gradient_boosting,mcar,1,0.3,0.2986080586080586,0.289766081871345,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9385964912280702,0.9806747461513265,0.05282767048522591,0.0,-0.011464133639043528,0.005912529494227603
wdbc,gradient_boosting,mcar,1,0.5,0.4950915750915751,0.493859649122807,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9035087719298246,0.9642974123812643,0.08175446481226137,-0.03508771929824561,-0.027841467409105758,0.03483932382126306
wdbc,gradient_boosting,mcar,2,0.1,0.10175824175824176,0.10877192982456141,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.9736842105263158,0.9798280423280423,0.030545928935756667,0.03508771929824561,-0.0009920634920634885,-0.011856612657074904
wdbc,gradient_boosting,mcar,2,0.2,0.2019047619047619,0.20701754385964913,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.956140350877193,0.9804894179894179,0.039032001218147684,0.01754385964912275,-0.00033068783068790353,-0.0033705403746838863
wdbc,gradient_boosting,mcar,2,0.3,0.3035164835164835,0.306140350877193,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.9649122807017544,0.9887566137566138,0.03262366963372276,0.02631578947368418,0.00793650793650802,-0.009778871959108808
wdbc,gradient_boosting,mcar,2,0.5,0.5022710622710622,0.5105263157894737,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.9385964912280702,0.9745370370370371,0.05340892368057658,0.0,-0.006283068783068724,0.011006382087745008
wdbc,gradient_boosting,mcar,3,0.1,0.10249084249084249,0.10994152046783626,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.9649122807017544,0.9986772486772486,0.022991761110389173,-0.00877192982456143,-0.00033068783068790353,0.0045888957315722324
wdbc,gradient_boosting,mcar,3,0.2,0.20351648351648352,0.204093567251462,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.9736842105263158,0.9983465608465608,0.019552428627630132,0.0,-0.000661375661375696,0.0011495632488131916
wdbc,gradient_boosting,mcar,3,0.3,0.30153846153846153,0.3,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.956140350877193,0.9947089947089947,0.03758797094388874,-0.01754385964912286,-0.004298941798941858,0.019185105565071803
wdbc,gradient_boosting,mcar,3,0.5,0.4988278388278388,0.5046783625730994,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.9210526315789473,0.9738756613756614,0.06714413486074453,-0.052631578947368474,-0.025132275132275117,0.048741269481927585
wdbc,gradient_boosting,mcar,4,0.1,0.09926900584795322,0.10117994100294986,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9646017699115044,0.9959758551307847,0.03287298827054313,0.008849557522123797,0.014084507042253502,0.003947864507412441
wdbc,gradient_boosting,mcar,4,0.2,0.20109649122807016,0.20766961651917404,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9557522123893806,0.9912810194500336,0.04193623100529607,0.0,0.009389671361502372,0.013011107242165379
wdbc,gradient_boosting,mcar,4,0.3,0.3047514619883041,0.31091445427728615,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9469026548672567,0.9859154929577465,0.04324840792404983,-0.008849557522123908,0.004024144869215318,0.014323284160919145
wdbc,gradient_boosting,mcar,4,0.5,0.5054093567251462,0.512094395280236,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9557522123893806,0.9872568745808182,0.03576024772979014,0.0,0.005365526492287054,0.006835123966659452
