dataset,model,mechanism,imputer,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean
wdbc,logistic_regression,mnar,iterative,0.1,0.971914299021891,0.019984375917937384,0.9957086403000257,0.00585281862264606,0.020961975723238237,0.007899841868239126,-0.0035087719298245723,0.0003288031375158873,0.0010765642229373905
wdbc,logistic_regression,mnar,iterative,0.2,0.9736531594472908,0.020555559267282118,0.9945297755525401,0.006481398611951217,0.020668490553077647,0.008664551417117755,-0.0017699115044248037,-0.000850061609969921,0.0007830790527767996
wdbc,logistic_regression,mnar,iterative,0.3,0.9718987734823784,0.01899572124374411,0.9940605952684237,0.006373861088068361,0.023037073517812756,0.01036108508917121,-0.00352429746933709,-0.0013192418940863205,0.0031516620175119072
wdbc,logistic_regression,mnar,iterative,0.5,0.9754230709517155,0.01439251846116419,0.9936635099139194,0.006483220954326706,0.021603397127700468,0.010776277131180767,0.0,-0.00171632724859061,0.0017179856273996188
wdbc,logistic_regression,mnar,knn,0.1,0.9701443875174662,0.013267593217839742,0.995842778462333,0.005821197516498412,0.022597318996756693,0.007889365300111702,-0.005278683434249354,0.00046294129982304977,0.002711907496455844
wdbc,logistic_regression,mnar,knn,0.2,0.9701443875174662,0.013267593217839742,0.9947914879457624,0.006362531397102455,0.023722492778452002,0.01031095179899492,-0.005278683434249354,-0.0005883492167475079,0.0038370812781511527
wdbc,logistic_regression,mnar,knn,0.3,0.9736531594472908,0.012378100897397075,0.9947110310441459,0.005116955789558718,0.023047184723656657,0.00904934990372896,-0.0017699115044248037,-0.0006688061183639293,0.0031617732233558083
wdbc,logistic_regression,mnar,knn,0.5,0.971914299021891,0.014387786442391333,0.9935980005788391,0.004030196805127421,0.024262997918076103,0.008070443942435638,-0.0035087719298245723,-0.001781836583670815,0.004377586417775256
wdbc,logistic_regression,mnar,simple,0.1,0.9701443875174662,0.013267593217839742,0.9957117597921725,0.005972282678533689,0.022203957743918264,0.007926936763086147,-0.005278683434249354,0.00033192262966257323,0.002318546243617413
wdbc,logistic_regression,mnar,simple,0.2,0.9754230709517155,0.01567220354891,0.9940708852598796,0.006636878488034865,0.022578729757502747,0.011174225335873093,0.0,-0.0013089519026302288,0.0026933182572018983
wdbc,logistic_regression,mnar,simple,0.3,0.9684055270920664,0.017073770465263444,0.9932742016266418,0.0069995561525163395,0.02377266979814622,0.008743129099309615,-0.007017543859649122,-0.002105635535868089,0.0038872582978453697
wdbc,logistic_regression,mnar,simple,0.5,0.9631423691973297,0.01684086337457674,0.992941629102782,0.006085643260012225,0.02510671120155499,0.010165994677761206,-0.01228070175438598,-0.0024382080597278753,0.005221299701254139
