dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,clean_accuracy,clean_roc_auc,clean_brier,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
wdbc,random_forest,mcar,0,0.1,0.09692307692307692,0.09912280701754386,0.9649122807017544,0.998689813298395,0.025110526315789475,0.9649122807017544,0.9970520799213888,0.030077631578947366,0.0,-0.0016377333770062341,0.004967105263157891
wdbc,random_forest,mcar,0,0.2,0.20373626373626375,0.20058479532163742,0.9649122807017544,0.998689813298395,0.025110526315789475,0.9385964912280702,0.9977071732721912,0.03024780701754386,-0.02631578947368418,-0.0009826400262038515,0.005137280701754385
wdbc,random_forest,mcar,0,0.3,0.3054945054945055,0.306140350877193,0.9649122807017544,0.998689813298395,0.025110526315789475,0.9385964912280702,0.9950867998689813,0.03832521929824561,-0.02631578947368418,-0.003603013429413715,0.013214692982456134
wdbc,random_forest,mcar,0,0.5,0.5022710622710622,0.5084795321637426,0.9649122807017544,0.998689813298395,0.025110526315789475,0.9473684210526315,0.9959056665574844,0.04181864035087719,-0.01754385964912286,-0.0027841467409106535,0.016708114035087717
wdbc,random_forest,mcar,1,0.1,0.10007326007326008,0.1023391812865497,0.9385964912280702,0.976580412708811,0.0442188596491228,0.9385964912280702,0.977890599410416,0.04275855263157894,0.0,0.0013101867016049873,-0.0014603070175438632
wdbc,random_forest,mcar,1,0.2,0.19985347985347984,0.19035087719298247,0.9385964912280702,0.976580412708811,0.0442188596491228,0.956140350877193,0.9773992793973142,0.040533771929824554,0.01754385964912275,0.0008188666885031726,-0.0036850877192982495
wdbc,random_forest,mcar,1,0.3,0.2986080586080586,0.289766081871345,0.9385964912280702,0.976580412708811,0.0442188596491228,0.9473684210526315,0.9764166393711105,0.04444605263157894,0.00877192982456132,-0.0001637733377005679,0.00022719298245613834
wdbc,random_forest,mcar,1,0.5,0.4950915750915751,0.493859649122807,0.9385964912280702,0.976580412708811,0.0442188596491228,0.9035087719298246,0.9798558794628234,0.05875548245614035,-0.03508771929824561,0.003275466754012357,0.014536622807017549
wdbc,random_forest,mcar,2,0.1,0.10175824175824176,0.10877192982456141,0.956140350877193,0.9857804232804233,0.0340796052631579,0.9473684210526315,0.9869378306878306,0.03827456140350877,-0.00877192982456143,0.0011574074074073293,0.0041949561403508695
wdbc,random_forest,mcar,2,0.2,0.2019047619047619,0.20701754385964913,0.956140350877193,0.9857804232804233,0.0340796052631579,0.9473684210526315,0.990244708994709,0.04431513157894738,-0.00877192982456143,0.004464285714285698,0.01023552631578948
wdbc,random_forest,mcar,2,0.3,0.3035164835164835,0.306140350877193,0.956140350877193,0.9857804232804233,0.0340796052631579,0.9473684210526315,0.9889219576719577,0.04631228070175439,-0.00877192982456143,0.0031415343915344174,0.012232675438596491
wdbc,random_forest,mcar,2,0.5,0.5022710622710622,0.5105263157894737,0.956140350877193,0.9857804232804233,0.0340796052631579,0.9035087719298246,0.9857804232804233,0.055988377192982455,-0.05263157894736836,0.0,0.021908771929824558
wdbc,random_forest,mcar,3,0.1,0.10249084249084249,0.10994152046783626,0.9473684210526315,0.994047619047619,0.03719407894736842,0.9473684210526315,0.9942129629629629,0.036388596491228074,0.0,0.00016534391534395176,-0.000805482456140344
wdbc,random_forest,mcar,3,0.2,0.20351648351648352,0.204093567251462,0.9473684210526315,0.994047619047619,0.03719407894736842,0.9385964912280702,0.9933862433862434,0.041954605263157904,-0.00877192982456132,-0.000661375661375585,0.004760526315789486
wdbc,random_forest,mcar,3,0.3,0.30153846153846153,0.3,0.9473684210526315,0.994047619047619,0.03719407894736842,0.9385964912280702,0.9925595238095238,0.0467828947368421,-0.00877192982456132,-0.0014880952380951218,0.009588815789473681
wdbc,random_forest,mcar,3,0.5,0.4988278388278388,0.5046783625730994,0.9473684210526315,0.994047619047619,0.03719407894736842,0.9122807017543859,0.9849537037037037,0.05867061403508772,-0.03508771929824561,-0.009093915343915238,0.021476535087719302
wdbc,random_forest,mcar,4,0.1,0.09926900584795322,0.10117994100294986,0.9646017699115044,0.9927900737759893,0.027384292035398227,0.9734513274336283,0.9909456740442656,0.029765044247787614,0.008849557522123908,-0.0018443997317236782,0.002380752212389387
wdbc,random_forest,mcar,4,0.2,0.20109649122807016,0.20766961651917404,0.9646017699115044,0.9927900737759893,0.027384292035398227,0.9646017699115044,0.9880952380952381,0.03249601769911504,0.0,-0.0046948356807511304,0.005111725663716812
wdbc,random_forest,mcar,4,0.3,0.3047514619883041,0.31091445427728615,0.9646017699115044,0.9927900737759893,0.027384292035398227,0.9557522123893806,0.982729711602951,0.03510840707964602,-0.008849557522123797,-0.010060362173038295,0.007724115044247793
wdbc,random_forest,mcar,4,0.5,0.5054093567251462,0.512094395280236,0.9646017699115044,0.9927900737759893,0.027384292035398227,0.9557522123893806,0.9800469483568075,0.04315309734513275,-0.008849557522123797,-0.012743125419181767,0.015768805309734523
