dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
wdbc,logistic_regression,mar,0.1,0.971914299021891,0.01899741836160694,0.9951193595682624,0.005948649154656352,0.021240833193635324,0.009975632136031786,-0.0035087719298245723,-0.0002604775942476545,0.0013554216933344746
wdbc,logistic_regression,mar,0.2,0.971914299021891,0.01685096886113348,0.9935462040113203,0.006243387504384031,0.024043800253750934,0.010719585844338282,-0.0035087719298245723,-0.001833633151189673,0.004158388753450085
wdbc,logistic_regression,mar,0.3,0.9701599130569788,0.018167418880940745,0.9937421037855036,0.006472730094798392,0.024027502529133306,0.007990904300488462,-0.0052631578947368585,-0.0016377333770062562,0.00414209102883246
wdbc,logistic_regression,mar,0.5,0.9613879832324173,0.019188225891450854,0.9930043005665345,0.004558314178281305,0.028124416731580577,0.009519985066897716,-0.014035087719298244,-0.0023755365959754913,0.008239005231279729
