dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change,source_file,imputer,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean,regime,variant
wdbc,gradient_boosting,mar,0.1,0.9630957925787922,0.0168656423250938,0.992793691520354,0.0071027824514225,0.0286273776600238,0.0134347348386028,0.0052786834342493,0.0020875468140453,-0.0002003236200433,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mar,0.2,0.971883247942866,0.0209380766719487,0.9939117694972592,0.0065724224811914,0.0260204421097027,0.0164109494789882,0.0140661387983231,0.0032056247909507,-0.0028072591703644,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mar,0.3,0.9560627231796304,0.0223647942937742,0.991603583603256,0.0079997671355358,0.0304898827610332,0.0166112778780888,-0.0017543859649123,0.0008974388969475,0.0016621814809661,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mar,0.5,0.9490451793199812,0.0243137458608983,0.9879508965940346,0.0072002578699452,0.0428852544544641,0.0196008318057617,-0.0087719298245614,-0.0027552481122739,0.0140575531743969,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mcar,0.1,0.9630957925787922,0.0318660327478144,0.9918172904784436,0.0090424583107396,0.0306023466302442,0.0199859613718525,0.0052786834342493,0.0011111457721349,0.001774645350177,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mcar,0.2,0.9630802670392796,0.0200378425618283,0.990223858222548,0.0092529107695045,0.0314666123660265,0.0191155629844915,0.0052631578947368,-0.0004822864837604,0.0026389110859593,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mcar,0.3,0.9525384257102936,0.0100647834957765,0.9893560761641338,0.0065289806915859,0.0388615136151457,0.0096484801597219,-0.0052786834342493,-0.0013500685421746,0.0100338123350785,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mcar,0.5,0.9367644775655954,0.0250449257876272,0.9793383037241536,0.0126896195472407,0.0528277159926108,0.0226345145740519,-0.0210526315789473,-0.0113678409821547,0.0240000147125436,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mnar,0.1,0.9613414066138798,0.0192046593639029,0.9931845378905648,0.0086559896093856,0.0290390449016464,0.0140841315755576,0.003524297469337,0.0024783931842562,0.0002113436215792,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mnar,0.2,0.9578171091445428,0.014426601656033,0.9913405497584992,0.0087845542503196,0.0312588658861274,0.0101575325787781,-4.440892098500626e-17,0.0006344050521908,0.0024311646060602,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
wdbc,gradient_boosting,mnar,0.3,0.9631113181183046,0.0113839635566481,0.9929188828058793,0.0050519735704138,0.028033928809298,0.0099336225582526,0.0052942089737618,0.0022127380995707,-0.0007937724707691,wdbc_combined_model_mechanism_summary.csv,,,,,,,,,
