dataset,model,imputer,mechanism,regime,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.1,0.0,0.09912280701754386,0.9824561403508771,0.9970520799213888,0.021640837914499788,0.02725388944311859,0.00877192982456132,0.0016377333770062341,0.0006224845567503537,-0.002551686134189185
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.1,0.09692307692307692,0.09912280701754386,0.9649122807017544,0.9918113331149689,0.02355484345195365,0.024905247046501634,-0.00877192982456143,-0.003603013429413604,0.0025364900942042162,-0.004900328530806141
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.2,0.0,0.20058479532163742,0.9736842105263158,0.9954143465443825,0.023962082098390375,0.019843583828981465,0.0,0.0,0.0029437287406409406,-0.00996199174832631
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.2,0.20373626373626375,0.20058479532163742,0.9649122807017544,0.990501146413364,0.024974907035334313,0.03941340987844405,-0.00877192982456143,-0.004913200131018591,0.003956553677584879,0.009607834301136275
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.3,0.0,0.306140350877193,0.9649122807017544,0.9983622666229938,0.020385252429586134,0.033585695661675415,-0.00877192982456143,0.0029479200786112214,-0.0006331009281633007,0.0037801200843676393
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.3,0.3054945054945055,0.306140350877193,0.956140350877193,0.9911562397641664,0.02801109607374094,0.023318162528390075,-0.01754385964912286,-0.004258106780216098,0.006992742715991505,-0.006487413048917701
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0,0.5,0.0,0.5084795321637426,0.9473684210526315,0.9927939731411727,0.03451432939592625,0.05222353592574896,-0.026315789473684292,-0.0026203734032098636,0.01349597603817682,0.022417960348441183
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0,0.5,0.5022710622710622,0.5084795321637426,0.9824561403508771,0.996069439895185,0.02174611828082159,0.030492703634716522,0.00877192982456132,0.0006550933508024936,0.0007277649230721557,0.0006871280574087466
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.1,0.0,0.1023391812865497,0.956140350877193,0.9970520799213888,0.027309674896635754,0.03453010159640558,0.0,-0.0006550933508024936,0.0013642247210184331,-0.005294348511126971
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.1,0.10007326007326008,0.1023391812865497,0.9473684210526315,0.99737962659679,0.027056223699801672,0.04105430591094869,-0.00877192982456143,-0.0003275466754012468,0.001110773524184351,0.001229855803416141
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,1,0.2,0.0,0.19035087719298247,0.9649122807017544,0.9970520799213889,0.023134332629261532,0.03187449044086397,0.00877192982456143,-0.0006550933508023826,-0.002811117546355789,-0.007949959666668581
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,1,0.2,0.19985347985347984,0.19035087719298247,0.9298245614035088,0.986570586308549,0.036158176409845956,0.05388852126466148,-0.02631578947368418,-0.011136586963642281,0.010212726234228635,0.014064071157128932
